id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link;keywords
26520;VERK;medium_airport;Rourkela Airport;22256571;84815193;659;AS;IN;IN-OR;Rourkela;no;VERK;RRK;;;https://en.wikipedia.org/wiki/Rourkela_Airport;
26521;VETZ;medium_airport;Tezpur Airport;2,67091E+14;9,27847E+15;240;AS;IN;IN-AS;;yes;VETZ;TEZ;;;https://en.wikipedia.org/wiki/Tezpur_Airport;Salonibari Airport, Tezpur Air Force Station
26523;VEVZ;medium_airport;Visakhapatnam Airport / INS Dega;17723506;83227729;15;AS;IN;IN-AP;Visakhapatnam;yes;VOVZ;VTZ;;http://www.vizagairport.in/;https://en.wikipedia.org/wiki/Visakhapatnam_Airport;VEVZ, Visakhapatnam, Vizag
26524;VEZO;medium_airport;Ziro Airport;27588301;93828102;5403;AS;IN;IN-AR;Ziro;no;VEZO;ZER;;;https://en.wikipedia.org/wiki/Zero_Airport;
26525;VGBR;medium_airport;Barisal Airport;2,2801E+16;9,03012E+15;23;AS;BD;BD-1;Barisal;yes;VGBR;BZL;;;https://en.wikipedia.org/wiki/Barisal_Airport;
26526;VGCB;medium_airport;Cox's Bazar Airport;2,14522E+16;9,19639E+15;12;AS;BD;BD-2;Cox's Bazar;yes;VGCB;CXB;;;https://en.wikipedia.org/wiki/Cox's_Bazar_Airport;
26527;VGEG;medium_airport;Shah Amanat International Airport;22249599;91813301;12;AS;BD;BD-2;Chattogram (Chittagong);yes;VGEG;CGP;;;https://en.wikipedia.org/wiki/Shah_Amanat_International_Airport;M.A. Hannan International Airport
26528;VGIS;medium_airport;Ishurdi Airport;2,41525E+15;8,90494E+15;45;AS;BD;BD-5;Ishurdi;no;VGIS;IRD;;;;
26529;VGJR;medium_airport;Jessore Airport;231838;89160797;20;AS;BD;BD-4;Jashore (Jessore);yes;VGJR;JSR;;;https://en.wikipedia.org/wiki/Jessore_Airport;
26530;VGRJ;medium_airport;Shah Mokhdum Airport;2,44372E+15;8,86165E+15;64;AS;BD;BD-5;Rajshahi;yes;VGRJ;RJH;;;https://en.wikipedia.org/wiki/Shah_Makhdum_Airport;
26531;VGSD;medium_airport;Saidpur Airport;2,57592E+16;8,89089E+15;125;AS;BD;BD-5;Saidpur;yes;VGSD;SPD;;;https://en.wikipedia.org/wiki/Saidpur_Airport;
26532;VGSY;medium_airport;Osmany International Airport;24963832;91864843;50;AS;BD;BD-6;Sylhet;yes;VGSY;ZYL;;;https://en.wikipedia.org/wiki/Osmani_International_Airport;
26534;VGZR;large_airport;Hazrat Shahjalal International Airport;23843347;90397783;30;AS;BD;BD-3;Dhaka;yes;VGHS;DAC;;;https://en.wikipedia.org/wiki/Shahjalal_International_Airport;VGZR, Zia International Airport, Dacca International Airport, Hazrat Shahjalal International Airport
26535;VHHH;large_airport;Hong Kong International Airport;22308901;113915001;28;AS;HK;HK-NT;Islands;yes;VHHH;HKG;;http://www.hongkongairport.com/;https://en.wikipedia.org/wiki/Hong_Kong_International_Airport;Chek Lap Kok Airport, ?????
26536;VHSK;medium_airport;Shek Kong Air Base;224366;114080002;50;AS;HK;HK-NT;Islands;no;VHSK;;;;https://en.wikipedia.org/wiki/Shek_Kong_Airfield;Yuen Long Airport, RAF Sek Kong, ????
26537;VIAG;medium_airport;Agra Airport / Agra Air Force Station;27157683;77960942;551;AS;IN;IN-UP;Agra;yes;VIAG;AGR;;;https://en.wikipedia.org/wiki/Agra_Airport;Kheria Airport, Pandit Deen Dayal Upadhyay Airport, RAF Agra
26538;VIAL;medium_airport;Prayagraj Deendayal Upadhyay Airport / Bamrauli Air Force Station;254401;81733902;322;AS;IN;IN-UP;Allahabad;yes;VEAB;IXD;;https://www.aai.aero/en/node/75695;https://en.wikipedia.org/wiki/Prayagraj_Airport;VIAL, Allahabad Bamrauli Airport, Bamrauli Air Force Station
26539;VIAM;medium_airport;Ambala Air Force Station;30368099;76816704;909;AS;IN;IN-HR;Ambala;no;VIAM;;VI18;;https://en.wikipedia.org/wiki/Halwara_Air_Force_Base;
26540;VIAR;medium_airport;Sri Guru Ram Dass Jee International Airport;317096;74797302;756;AS;IN;IN-PB;Amritsar;yes;VIAR;ATQ;;http://www.aai.aero/allAirports/amritsar_generalinfo.jsp;https://en.wikipedia.org/wiki/Sri_Guru_Ram_Dass_Jee_International_Airport;Amritsar Air Force Station
26543;VIBK;medium_airport;Nal Airport;2,80706E+16;7,32072E+15;750;AS;IN;IN-RJ;Bikaner;no;VIBK;BKB;;;;Nal Air Force Station
26545;VIBN;medium_airport;Lal Bahadur Shastri Airport;25452129;82861805;266;AS;IN;IN-UP;Varanasi;yes;VEBN;VNS;;https://www.aai.aero/en/airports/varanasi;https://en.wikipedia.org/wiki/Lal_Bahadur_Shastri_Airport;VIBN, Babatpur Airport, Varanasi Airport
26546;VIBR;medium_airport;Kullu Manali Airport;31876699;77154404;3573;AS;IN;IN-HP;Bhuntar;no;VIBR;KUU;;;;
26547;VIBT;medium_airport;Bhatinda Air Force Station;3,02701E+16;7,47558E+15;662;AS;IN;IN-PB;;no;VIBT;BUP;;;;
